date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-02 | 3
2009-01-01 | 3
2009-01-01 | 1001
2009-01-01 | 100c
1002-12-01 | 100.233.
2013-06-02 | 1
2013-06-01 | 1
2013-05-31 | 1
2013-01-31 | 1
2013-03-31 | 1
2013-07-31 | 1
2013-08-31 | 1
2013-10-31 | 1
2013-12-31 | 1
2013-04-31 | 1
2013-06-31 | 1
2013-09-31 | 1
2013-11-31 | 1
2013-04-30 | 1
2013-06-30 | 1
2013-09-30 | 1
2013-11-30 | 1
2012-02-28 | 1
2012-02-29 | 1
2012-02-30 | 1
2013-02-28 | 1
2013-02-29 | 1
2013-10-24 | 1
2013-10-25 | 1
2013-10-27 | 1
2013-10-28 | 1
2013-10-29 | 1
1900-01-01 | 10
